college_name,stream,year_of_study,ai_tools_used,daily_usage_hours,use_cases,trust_in_ai_tools,do_professors_allow_use,preferred_ai_tool,awareness_level,willing_to_pay_for_access,state,device_used,internet_access,impact_on_grades_binary
LJ Institute of Computer Application ,Science,2,"ChatGPT, Gemini, Copilot",1.7,Learning new topics,2,Yes,Other,10,Yes,Gujarat,Tablet,Medium,0
"Scott Christian College, Nagercoil ",Science,1,Other,3.8,Doubt Solving,1,No,Other,2,Yes,Tamil nadu,Laptop,Medium,1
Sri Ramakrishna Engineering College ,Engineering,1,"ChatGPT, Copilot",3.2,Learning new topics,5,Yes,Gemini,6,No,Tamil nadu,Tablet,Medium,1
Avvaiyar Government College for Women ,Commerce,4,"ChatGPT, Copilot",4.2,Content Writing,4,Yes,Gemini,5,Yes,Puducherry,Tablet,Poor,1
OP Jindal University ,Engineering,1,Gemini,0.6,"Exam Prep, Notes",3,Yes,Gemini,7,Yes,Chhattisgarh,Laptop,Poor,1
"Post Graduate Government College, Chandigarh ",Commerce,2,Copilot,1.0,"Resume Writing, MCQ Practice, Coding Help",4,No,ChatGPT,4,No,Chandigarh,Mobile,High,0
Jawaharlal Institute of Post Graduate Medical Education and Research ,Medical,4,ChatGPT,4.2,"MCQ Practice, Projects",4,No,Gemini,1,Yes,Puducherry,Laptop,High,1
Institute of Technical Education and Research ,Science,3,"ChatGPT, Copilot",3.2,Content Writing,1,Yes,Copilot,7,No,Orissa,Laptop,Medium,1
"Lloyd Law College, Greater Noida ",Commerce,2,Claude,3.6,"Content Writing, Resume Writing, Exam Preparation",4,Yes,Copilot,1,No,Uttar pradesh,Mobile,Poor,0
Sikkim Manipal University ,Medical,4,ChatGPT,0.7,"Exam Preparation, Resume Writing",5,Yes,Other,9,No,Sikkim,Laptop,High,1
Maulana Azad National Institute of Technology ,Engineering,4,"ChatGPT, Gemini, Copilot",2.1,"Exam Prep, Notes",2,No,Other,7,Yes,Madhya pradesh,Laptop,Medium,1
"J.C. Bose University Of Science And Technology, ",Science,1,ChatGPT,2.7,"MCQ Practice, Projects",1,Yes,Gemini,6,No,Haryana,Tablet,Poor,1
Shri Shankaracharya Institute of Professional Management and ,Commerce,1,ChatGPT,0.7,"Exam Prep, Notes",5,No,ChatGPT,3,Yes,Chhattisgarh,Tablet,High,1
"Food Craft Institute-[FCI], Visakhapatnam ",Hotel-management,1,Bard,2.7,"Coding Help, Resume Writing, Learning new topics",5,No,Bard,2,Yes,Andhra pradesh,Mobile,Poor,0
"Kanoria PG Mahila Mahavidyalaya, Jaipur ",Arts,4,Other,4.2,Resume Writing,1,No,ChatGPT,2,Yes,Rajasthan,Mobile,Poor,1
Radha Govind University ,Pharmacy,1,Gemini,4.1,Content Writing,2,Yes,Other,4,No,Jharkhand,Mobile,High,0
Dr. B. R. Ambedkar Polytechnic College ,Engineering,3,Gemini,3.1,"Assignments, Coding Help",5,No,Other,6,No,Puducherry,Tablet,High,1
"P.P. Savani University, Surat ",Commerce,2,Gemini,3.9,"MCQ Practice, Assignments",5,Yes,Claude,2,Yes,Gujarat,Laptop,Poor,1
Central University of Kashmir ,Science,2,Claude,2.6,"MCQ Practice, Resume Writing",3,No,ChatGPT,6,Yes,Jammu,Mobile,Medium,0
"Government Maharishi Valmiki College, Kanker ",Commerce,2,Claude,3.3,Exam Preparation,4,Yes,Other,7,Yes,Chhattisgarh,Laptop,Poor,1
"Sri Venkateshwara College of Pharmacy, Hyderabad ",Pharmacy,4,Bard,3.0,Learning new topics,2,No,Gemini,4,Yes,Telangana,Tablet,Poor,1
Indira Gandhi Institute of Medical Sciences ,Medical,1,ChatGPT,3.9,"Assignments, Coding Help",2,No,ChatGPT,5,No,Bihar,Mobile,High,1
Maharishi Markandeshwar ,Medical,4,Copilot,1.6,"MCQ Practice, Projects",1,No,ChatGPT,2,No,Himachal pradesh,Tablet,Medium,0
"Tura Polytechnic College, Tura ",Engineering,2,Claude,2.2,Exam Preparation,5,Yes,Copilot,6,No,Meghalaya,Laptop,Poor,0
Apex Professional University ,Hotel-management,2,Gemini,0.9,"Doubt Solving, Resume Writing",4,No,Gemini,1,Yes,Arunachal pradesh,Mobile,High,0
"Faculty of Management Sciences and Liberal Arts, ",Commerce,1,Copilot,2.2,Learning new topics,2,No,ChatGPT,10,No,Himachal pradesh,Laptop,Poor,1
Himachal Pradesh University ,Hotel-management,2,Other,1.6,"Assignments, MCQ Practice, Content Writing",4,Yes,Gemini,4,Yes,Himachal pradesh,Tablet,High,1
"MVJ Medical College and Research Hospital, Hoskote ",Agriculture,4,Claude,2.0,Content Writing,3,No,ChatGPT,8,No,Karnataka,Tablet,High,0
DAV College ,Commerce,4,ChatGPT,3.3,"Resume Writing, Assignments, Content Writing",5,No,ChatGPT,3,Yes,Uttar pradesh,Tablet,Medium,0
Gandhi Institute of Management Studies ,Management,2,Gemini,1.6,Content Writing,2,Yes,ChatGPT,9,Yes,Orissa,Laptop,Poor,0
University of Petroleum and Energy Studies ,Medical,3,ChatGPT,3.0,Content Writing,1,No,Copilot,5,Yes,Uttarakhand,Tablet,Medium,1
"MotherHood University, Roorkee ",Management,3,Copilot,1.9,"MCQ Practice, Projects",2,Yes,Gemini,6,No,Uttarakhand,Tablet,High,1
"Sri Guru Gobind Singh College of Pharmacy, ",Medical,2,ChatGPT,2.0,"Exam Prep, Notes",4,Yes,ChatGPT,6,Yes,Chandigarh,Tablet,Poor,0
"Faculty of Law, University of Delhi, New ",Law,4,"ChatGPT, Copilot",3.2,Learning new topics,4,Yes,Gemini,5,Yes,Delhi ncr,Tablet,High,1
Bihar Agricultural University ,Science,4,Copilot,3.7,"Assignments, Coding Help",2,Yes,ChatGPT,5,Yes,Bihar,Tablet,Poor,0
Modern Vidya Niketan ,Agriculture,2,Claude,1.0,"Coding Help, Exam Preparation",1,Yes,Claude,6,Yes,Haryana,Tablet,Medium,1
College of Engineering ,Engineering,3,"ChatGPT, Copilot",2.2,"Assignments, Coding Help",3,No,ChatGPT,9,No,Maharashtra,Mobile,High,0
Calicut University ,Agriculture,1,"Gemini, Midjourney",3.6,Content Writing,2,No,Gemini,9,No,Kerala,Tablet,Medium,1
"City College of Commerce and Business Administration, ",Commerce,4,Gemini,2.2,Content Writing,4,Yes,ChatGPT,2,No,West bengal,Mobile,High,0
Indian Institute of Management Visakhapatnam ,Management,3,Claude,0.7,Resume Writing,1,No,Copilot,3,No,Andhra pradesh,Laptop,Poor,0
"Munshi Singh College, Motihari ",Law,4,Claude,2.2,"MCQ Practice, Resume Writing, Doubt Solving",2,No,Copilot,7,Yes,Bihar,Laptop,Medium,0
"TTAADC Polytechnic Institute, West Tripura ",Engineering,3,Claude,4.4,Exam Preparation,1,No,Copilot,1,No,Tripura,Tablet,High,1
BML Munjal University ,Arts,4,"Gemini, Midjourney",1.6,"MCQ Practice, Projects",2,Yes,Gemini,5,No,Haryana,Laptop,Medium,0
"Government Medical College, Kottayam ",Pharmacy,2,ChatGPT,2.7,Content Writing,1,No,Other,4,No,Kerala,Laptop,Medium,0
"Faculty of Law Jamia Millia Islamia University, ",Law,4,"Gemini, Midjourney",1.9,"Doubt Solving, Resume Writing",2,Yes,Copilot,1,Yes,Delhi ncr,Laptop,Poor,1
Bahra University ,Management,3,"ChatGPT, Copilot",0.8,"Assignments, Coding Help",5,Yes,Copilot,7,No,Himachal pradesh,Mobile,Medium,1
Rai Technology University ,Agriculture,1,"Gemini, Midjourney",1.5,Learning new topics,3,No,Gemini,9,Yes,Karnataka,Tablet,High,0
"Jamshedpur Women's College, Jamshedpur ",Arts,1,Gemini,1.2,"Resume Writing, MCQ Practice",1,No,Copilot,9,Yes,Jharkhand,Laptop,Medium,1
Mar Athanasios College for Advanced Studies Tiruvalla ,Management,3,ChatGPT,4.4,"Doubt Solving, Resume Writing",2,No,ChatGPT,1,No,Kerala,Mobile,Medium,1
"Shri HK Arts College, Ahmedabad ",Arts,4,Gemini,2.0,"Doubt Solving, Resume Writing",1,Yes,Gemini,6,No,Gujarat,Tablet,High,0
"Durgapur Institute of Legal Studies, Bardhaman ",Law,4,"ChatGPT, Copilot",3.3,"MCQ Practice, Projects",3,No,Copilot,1,No,West bengal,Mobile,Medium,1
Sri Guru Granth Sahib World University ,Engineering,2,Other,4.4,"Coding Help, Assignments, MCQ Practice",4,Yes,Bard,10,Yes,Punjab,Tablet,Poor,0
Indian Veterinary Research Institute ,Agriculture,2,ChatGPT,3.2,"Exam Prep, Notes",5,Yes,ChatGPT,8,No,Uttar pradesh,Laptop,High,0
"Sushant University / Ansal University, Gurgaon ",Law,4,Other,4.8,"Exam Preparation, Resume Writing, Coding Help",3,Yes,Bard,9,Yes,Haryana,Tablet,Poor,0
Nalanda Open University ,Management,2,"ChatGPT, Copilot",4.2,Learning new topics,1,Yes,ChatGPT,2,Yes,Bihar,Mobile,High,0
"Poddar Group of Institutions, Jaipur ",Pharmacy,1,Gemini,5.0,Resume Writing,2,No,ChatGPT,6,Yes,Rajasthan,Mobile,Medium,0
Directorate of Distance Education Sikkim Manipal University ,Arts,1,Gemini,3.5,"Resume Writing, Learning new topics",1,No,Other,1,No,Sikkim,Mobile,Poor,0
Farooqia College of Pharmacy ,Pharmacy,1,Copilot,2.5,"Exam Preparation, Doubt Solving",4,Yes,Bard,2,Yes,Karnataka,Laptop,Poor,0
"Amity University, Raipur ",Commerce,3,Copilot,3.6,Content Writing,1,No,Other,4,Yes,Chhattisgarh,Mobile,High,1
William Carey University ,Engineering,1,Gemini,3.3,Learning new topics,2,No,Bard,8,No,Meghalaya,Mobile,High,0
Hyderabad School of Business ,Management,2,"ChatGPT, Copilot",3.2,Learning new topics,1,Yes,Copilot,1,Yes,Telangana,Mobile,Poor,0
"Scott Christian College, Nagercoil ",Commerce,2,Copilot,0.7,"Exam Prep, Notes",1,No,Gemini,2,Yes,Tamil nadu,Tablet,Medium,0
"St Joseph's Degree and PG College, Hyderabad ",Arts,2,Bard,1.7,"Coding Help, MCQ Practice",3,Yes,Claude,9,Yes,Telangana,Tablet,Poor,0
Xavier Institute of Management ,Management,3,ChatGPT,1.0,Assignments,5,No,ChatGPT,4,Yes,Orissa,Laptop,High,1
Delhi College of Arts and Commerce ,Arts,1,ChatGPT,1.1,"Content Writing, MCQ Practice",2,Yes,Other,1,Yes,Delhi ncr,Tablet,High,1
"Shobhit University, Meerut ",Pharmacy,4,"ChatGPT, Copilot",1.8,"Doubt Solving, Resume Writing",1,Yes,ChatGPT,7,Yes,Delhi ncr,Tablet,High,1
"Lingaya's Vidyapeeth, Faridabad ",Arts,1,Gemini,2.5,"Exam Preparation, Learning new topics",1,Yes,ChatGPT,5,No,Haryana,Mobile,Medium,1
RNB Global University ,Agriculture,1,"Gemini, Midjourney",2.4,"MCQ Practice, Projects",1,Yes,Other,6,Yes,Rajasthan,Laptop,Medium,1
"University School of Business, Chandigarh University ",Arts,1,ChatGPT,4.2,"MCQ Practice, Projects",5,Yes,Copilot,1,No,Punjab,Laptop,Medium,1
"Starex University, Gurgaon ",Pharmacy,2,"ChatGPT, Copilot",3.5,"Exam Prep, Notes",2,Yes,Gemini,3,No,Haryana,Laptop,High,0
Institute of Rural Management ,Management,3,ChatGPT,4.1,Learning new topics,3,No,Other,6,Yes,Gujarat,Tablet,Poor,1
Swami Vivekanand National Institute of Rehabilitation Training ,Medical,2,Copilot,1.3,"MCQ Practice, Projects",4,Yes,ChatGPT,9,Yes,Orissa,Tablet,High,1
"Manohar Lal Mahavidhyalaya, Kanpur ",Arts,1,Copilot,1.5,"Coding Help, Learning new topics",2,Yes,Copilot,8,Yes,Uttar pradesh,Tablet,High,0
Chandigarh Institute of Hotel Management and Catering ,Hotel-management,3,Copilot,4.0,"MCQ Practice, Content Writing",3,Yes,ChatGPT,6,No,Punjab,Tablet,Poor,1
Central Marine Fisheries Research Institute ,Agriculture,4,ChatGPT,1.7,"Doubt Solving, Learning new topics",5,No,Bard,2,Yes,Tamil nadu,Laptop,High,1
Indian School of Business Management and Administration ,Law,2,Gemini,4.1,"MCQ Practice, Projects",4,No,Copilot,9,No,Tamil nadu,Laptop,Poor,1
Indian Institute of Management ,Law,3,Other,0.6,"Assignments, MCQ Practice",5,Yes,Claude,6,No,Delhi ncr,Tablet,Medium,0
National Institute of Technology ,Science,1,Copilot,2.3,"Resume Writing, Project Work",3,No,ChatGPT,1,Yes,Kerala,Mobile,High,0
Uttarakhand Open University ,Law,2,Other,1.2,"Project Work, Content Writing",3,Yes,Other,9,Yes,Uttarakhand,Mobile,Medium,1
Ganpat University ,Management,2,Claude,3.8,MCQ Practice,3,Yes,Gemini,4,No,Gujarat,Mobile,Poor,0
"Doaba College, Jalandhar ",Hotel-management,1,Bard,4.4,"MCQ Practice, Learning new topics, Exam Preparation",1,No,Gemini,9,No,Punjab,Tablet,High,1
Rajagiri Centre for Business Studies ,Management,1,Gemini,0.9,"Doubt Solving, Resume Writing",4,No,Copilot,9,No,Kerala,Tablet,Medium,1
K.J. Somaiya Medical College & Research Centre ,Medical,4,Gemini,2.2,"Exam Preparation, Content Writing, Resume Writing",5,No,Other,3,Yes,Maharashtra,Tablet,High,1
Sri Sri University ,Medical,4,Copilot,3.3,"Learning new topics, Project Work, Exam Preparation",3,Yes,Gemini,1,Yes,Orissa,Mobile,Medium,0
"Devi Ahilya Vishwavidyalaya, Indore ",Pharmacy,4,Gemini,4.6,"Assignments, Doubt Solving, Project Work",1,Yes,ChatGPT,7,No,Madhya pradesh,Tablet,Poor,1
"CU Shah Arts College, Ahmedabad ",Arts,1,"ChatGPT, Copilot",1.8,Learning new topics,1,No,ChatGPT,4,Yes,Gujarat,Mobile,Poor,1
"V. O. Chidambaram College, Thoothukkudi ",Science,4,Copilot,4.0,"MCQ Practice, Projects",4,Yes,Other,5,No,Tamil nadu,Laptop,Poor,0
Ajeenkya DY Patil University ,Hotel-management,1,Copilot,2.9,"MCQ Practice, Projects",2,Yes,ChatGPT,10,Yes,Maharashtra,Tablet,Medium,0
Indian Institute of Technology ,Law,3,ChatGPT,2.9,Learning new topics,2,Yes,Other,10,Yes,West bengal,Tablet,High,1
"Sityog Institute of Technology, Aurangabad ",Engineering,2,Gemini,3.8,"Project Work, Coding Help",1,Yes,Other,10,No,Bihar,Laptop,High,0
Gupta College of Technological Sciences ,Pharmacy,1,"ChatGPT, Copilot",3.1,Learning new topics,5,Yes,Gemini,6,Yes,West bengal,Mobile,Poor,0
ICAR-Central Coastal Agricultural Research Institute ,Agriculture,2,Copilot,3.5,"Exam Preparation, Doubt Solving",1,Yes,Other,8,No,Goa,Laptop,Poor,0
"K.L.E. Society's S.A. Manvi Law College, Gadag ",Law,4,Claude,2.8,"MCQ Practice, Assignments, Coding Help",1,Yes,Copilot,4,Yes,Karnataka,Mobile,Poor,1
AISSMS College of Hotel Management & Catering ,Hotel-management,2,Other,2.1,"Resume Writing, Content Writing, Project Work",2,No,Claude,7,No,Maharashtra,Tablet,Poor,0
Anugrah Narayan Singh College ,Science,1,Gemini,1.4,Resume Writing,2,No,Other,2,No,Bihar,Laptop,High,0
Bidhan Chandra Krishi Viswavidyalaya ,Agriculture,4,"Gemini, Midjourney",2.4,Learning new topics,1,Yes,Gemini,9,Yes,West bengal,Mobile,Medium,1
"Faculty of Pharmaceutical Sciences, PDM University, Bahadurgarh ",Pharmacy,2,ChatGPT,3.0,"Assignments, Coding Help",1,Yes,Copilot,9,No,Haryana,Mobile,Medium,0
Nehru College of Engineering and Research Centre ,Management,3,ChatGPT,0.7,"MCQ Practice, Projects",2,No,Other,9,No,Kerala,Tablet,Poor,1
Punjab College of Technical Education ,Hotel-management,3,"Gemini, Midjourney",3.3,Content Writing,1,Yes,Copilot,10,Yes,Punjab,Mobile,Medium,1
Dr DY Patil Medical College Hospital and ,Medical,2,ChatGPT,2.7,"Learning new topics, Coding Help",5,Yes,Gemini,10,Yes,Maharashtra,Laptop,Poor,0
Arunachal University of Studies ,Commerce,2,"ChatGPT, Copilot",3.6,"Doubt Solving, Resume Writing",4,No,ChatGPT,1,Yes,Arunachal pradesh,Tablet,Poor,0
International Institute of Information Technology ,Science,1,Gemini,0.6,"Doubt Solving, Resume Writing",4,No,ChatGPT,3,Yes,Telangana,Laptop,High,1
"University College of Engineering, Osmania University ",Engineering,3,Other,3.4,"Exam Preparation, Doubt Solving",4,Yes,Copilot,3,No,Telangana,Mobile,High,0
"Bilaspur University- [BU], Bilaspur ",Hotel-management,2,ChatGPT,4.4,"Exam Prep, Notes",2,No,Gemini,8,Yes,Chhattisgarh,Tablet,Medium,1
"Shillong College, Shillong ",Management,2,Other,3.1,"Project Work, Resume Writing",5,Yes,Gemini,1,No,Meghalaya,Tablet,Poor,0
"University Business School, Panjab University ",Management,3,ChatGPT,3.1,Learning new topics,3,Yes,Gemini,10,No,Haryana,Tablet,Poor,1
Modern College Kohima ,Agriculture,4,Bard,4.3,"Learning new topics, Coding Help",3,Yes,Bard,9,No,Nagaland,Laptop,High,0
Dr. B.R. Ambedkar Open University ,Commerce,1,"ChatGPT, Copilot",3.4,Learning new topics,2,No,Other,1,No,Telangana,Laptop,Medium,0
Career Point University ,Commerce,3,Copilot,0.9,"Project Work, Doubt Solving, Coding Help",3,No,Gemini,10,No,Himachal pradesh,Tablet,Poor,0
Birla Institute of Technology ,Science,4,Bard,3.3,"Coding Help, Resume Writing",3,No,Copilot,10,No,Bihar,Laptop,Medium,0
Christ Institute of Technology ,Engineering,4,Copilot,3.2,Content Writing,4,Yes,Other,2,Yes,Puducherry,Laptop,Medium,1
"Government College for Women, Srinagar ",Management,3,Copilot,3.4,"Content Writing, Project Work, Resume Writing",4,No,Claude,3,Yes,Jammu,Mobile,Poor,1
"Institute of Communication and Information Technology, Kohima ",Engineering,2,Claude,1.3,"Doubt Solving, Coding Help, Project Work",4,No,Other,7,No,Nagaland,Mobile,Medium,1
Sanjay Gandhi Postgraduate Institute of Medical Sciences ,Science,1,Copilot,4.4,"Project Work, Content Writing",4,No,Bard,10,Yes,Uttar pradesh,Mobile,Poor,1
"Institute of Distance Education, Rajiv Gandhi University, Itanagar ",Science,1,Other,1.2,Doubt Solving,4,Yes,Bard,10,No,Arunachal pradesh,Tablet,High,1
"St John's Pharmacy College, Bangalore ",Pharmacy,4,Gemini,1.5,Learning new topics,3,No,Gemini,3,No,Karnataka,Mobile,High,0
"Amity University, Ranchi ",Arts,3,"ChatGPT, Copilot",3.9,"Doubt Solving, Resume Writing",5,No,ChatGPT,9,No,Jharkhand,Mobile,Medium,0
Ram Krishna Dwarika College ,Management,3,"ChatGPT, Gemini, Copilot",3.3,"Doubt Solving, Resume Writing",5,No,Copilot,4,No,Bihar,Mobile,Poor,0
Panjab University ,Hotel-management,3,Copilot,3.0,"Doubt Solving, Resume Writing",4,No,Copilot,6,Yes,Haryana,Mobile,Poor,0
"St Joseph's College, Kohima ",Management,4,Claude,4.0,"Assignments, Coding Help, Content Writing",4,No,Bard,8,Yes,Nagaland,Tablet,High,1
Bharati Vidyapeeth Institute of Management Studies & ,Management,4,Copilot,2.5,"Doubt Solving, Resume Writing",2,No,ChatGPT,10,Yes,Maharashtra,Tablet,Poor,1
Chhatrapati Shahu Ji Maharaj University ,Commerce,3,Gemini,2.7,"Assignments, Coding Help",4,Yes,Gemini,6,Yes,Uttar pradesh,Laptop,High,0
"Post Graduate Government College for Girls, Chandigarh ",Arts,4,Gemini,2.4,"Exam Preparation, MCQ Practice",1,Yes,ChatGPT,9,Yes,Chandigarh,Mobile,High,1
Sagi Ramakrishnam Raju Engineering College ,Science,2,"ChatGPT, Gemini, Copilot",1.4,"Exam Prep, Notes",5,No,ChatGPT,8,Yes,Andhra pradesh,Laptop,Medium,0
"College of Technology, GB Pant University of ",Science,2,ChatGPT,4.1,"Learning new topics, Project Work",3,Yes,Copilot,4,Yes,Uttarakhand,Tablet,Medium,0
"Ahmedabad University, Ahmedabad ",Science,4,Gemini,3.0,"Resume Writing, MCQ Practice, Coding Help",4,No,ChatGPT,5,Yes,Gujarat,Laptop,High,0
Sri Sri University ,Management,1,Gemini,1.9,Learning new topics,4,Yes,Claude,3,No,Orissa,Laptop,High,1
"Trinity College of Hotel Management, Hyderabad ",Hotel-management,3,Copilot,1.1,"Doubt Solving, Resume Writing",4,Yes,ChatGPT,3,Yes,Telangana,Mobile,Medium,0
"Andhra University, College of Science & Technology, ",Commerce,4,Other,1.6,Content Writing,5,Yes,Gemini,9,Yes,Andhra pradesh,Laptop,High,1
Army College of Medical Science ,Medical,1,Other,4.2,"Coding Help, Resume Writing",3,Yes,Other,9,No,Delhi ncr,Laptop,Poor,0
Vardhaman College of Engineering ,Engineering,4,Gemini,4.1,"Exam Prep, Notes",2,No,ChatGPT,10,No,Telangana,Tablet,Medium,1
"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur ",Management,1,"Gemini, Midjourney",1.7,"Assignments, Coding Help",2,Yes,Gemini,2,Yes,Chhattisgarh,Laptop,High,0
DAV College ,Commerce,1,Bard,4.1,"Project Work, MCQ Practice, Resume Writing",2,No,Copilot,2,No,Punjab,Mobile,High,1
Chhatrapati Shahu Ji Maharaj University ,Commerce,3,Copilot,1.8,"Assignments, Coding Help",1,Yes,Other,5,No,Uttar pradesh,Tablet,Medium,1
"Christ Church College -[CCC], Kanpur ",Arts,3,"ChatGPT, Gemini, Copilot",4.4,"Assignments, Coding Help",3,Yes,Copilot,9,Yes,Uttar pradesh,Tablet,High,0
VIT University ,Arts,3,Gemini,3.9,"Doubt Solving, Resume Writing",4,No,Other,1,Yes,Andhra pradesh,Mobile,High,0
Islamia Karimia College ,Arts,2,Other,3.8,"Resume Writing, Exam Preparation",1,Yes,Claude,3,Yes,Madhya pradesh,Mobile,High,1
"Vidyasthali Law College, Jaipur ",Law,1,Other,0.9,"Exam Preparation, Learning new topics, Doubt Solving",3,Yes,Claude,4,No,Rajasthan,Tablet,Poor,1
Pioneer Institute of Professional Studies ,Agriculture,1,Bard,2.1,"Assignments, Exam Preparation",2,Yes,ChatGPT,1,Yes,Madhya pradesh,Mobile,Medium,1
Institute for Excellence in Higher Education ,Commerce,4,Gemini,3.5,"Exam Preparation, Resume Writing",4,No,Copilot,3,No,Madhya pradesh,Tablet,Medium,0
Rai University ,Agriculture,4,Other,1.2,Exam Preparation,4,Yes,Gemini,4,No,Gujarat,Tablet,Poor,0
"Teerthanker Mahaveer University, College of Architecture ",Law,4,Bard,4.3,"Doubt Solving, Learning new topics",3,No,Claude,3,Yes,Uttar pradesh,Mobile,Medium,1
Indian Institute of Technology ,Arts,2,"ChatGPT, Gemini, Copilot",3.0,Content Writing,2,Yes,Gemini,8,Yes,Rajasthan,Laptop,High,1
"VIT Bhopal University, Bhopal ",Science,2,Bard,3.7,"Doubt Solving, Content Writing, Coding Help",3,No,Bard,10,Yes,Madhya pradesh,Mobile,Medium,1
"Dibrugarh University, Dibrugarh ",Pharmacy,1,ChatGPT,1.8,"Project Work, MCQ Practice",2,No,Gemini,3,Yes,Assam,Tablet,Poor,1
"Nizam College, Hyderabad ",Commerce,2,Gemini,1.1,Learning new topics,2,No,Copilot,6,Yes,Telangana,Mobile,Medium,1
"Daudnagar College, Aurangabad ",Arts,2,ChatGPT,3.2,"MCQ Practice, Coding Help, Learning new topics",3,Yes,Bard,1,Yes,Bihar,Tablet,High,1
"MATS School of Law, Raipur ",Law,4,Copilot,2.9,"Exam Preparation, Content Writing, Learning new topics",1,Yes,Bard,5,No,Chhattisgarh,Tablet,High,0
"St Joseph's Degree and PG College, Hyderabad ",Management,3,ChatGPT,2.0,"Assignments, Coding Help",2,No,ChatGPT,6,Yes,Telangana,Tablet,Poor,0
"Annabattuni Satyanarayana Degree College, Guntur ",Arts,4,Copilot,1.7,"Coding Help, Learning new topics, MCQ Practice",2,No,Bard,7,Yes,Andhra pradesh,Mobile,Poor,0
"Ramnarain Ruia Autonomous College, Mumbai ",Agriculture,3,Claude,4.2,"MCQ Practice, Content Writing",2,No,ChatGPT,4,Yes,Maharashtra,Laptop,Medium,0
All India Institute of Medical Sciences ,Medical,1,Claude,1.3,"Project Work, MCQ Practice",5,No,ChatGPT,10,Yes,Jharkhand,Laptop,Medium,0
National Institute of Electronics & Information Technology ,Arts,4,Copilot,4.9,"Exam Preparation, Resume Writing",1,No,ChatGPT,6,Yes,Mizoram,Laptop,High,1
"Government Polytechnic College, Sopore ",Engineering,2,"Gemini, Midjourney",3.9,Learning new topics,3,Yes,Copilot,9,Yes,Jammu,Laptop,High,0
Sikkim Manipal Institute of Medical Sciences ,Science,1,ChatGPT,3.5,"Exam Preparation, Assignments, Project Work",5,No,Copilot,10,Yes,Sikkim,Laptop,Medium,0
"SAGE University, Indore ",Law,3,ChatGPT,2.0,"Project Work, Content Writing, Resume Writing",5,No,ChatGPT,10,Yes,Madhya pradesh,Laptop,High,0
National Institute of Technology ,Engineering,4,ChatGPT,1.1,"Coding Help, Assignments",4,No,Bard,8,No,Andhra pradesh,Laptop,Medium,1
Sri Padmavati Mahila Visvavidyalayam ,Law,1,Bard,2.8,"Learning new topics, Resume Writing",2,Yes,Copilot,4,No,Andhra pradesh,Tablet,Medium,0
"Besant Theosophical College, Madanapalle ",Commerce,4,ChatGPT,3.3,Doubt Solving,2,No,Copilot,6,No,Andhra pradesh,Tablet,High,1
"Synod College, Shillong ",Commerce,3,Copilot,1.1,"Doubt Solving, Content Writing",2,Yes,Copilot,5,No,Meghalaya,Tablet,Poor,0
"Graphic Era Hill University Dehradun Campus, School ",Law,3,"Gemini, Midjourney",2.3,Learning new topics,3,No,Other,2,Yes,Uttarakhand,Mobile,Medium,1
Kasturba Gandhi Degree and PG College for ,Arts,1,Copilot,1.1,"Exam Preparation, Project Work",2,Yes,Copilot,10,No,Telangana,Tablet,Medium,1
Jawaharlal Nehru Krishi Vishwa Vidyalaya ,Agriculture,4,Claude,3.6,"Learning new topics, Resume Writing",2,No,Bard,8,No,Madhya pradesh,Tablet,Poor,1
Basaveshwar Engineering College ,Engineering,2,Copilot,4.7,"Assignments, MCQ Practice",2,Yes,ChatGPT,6,No,Karnataka,Laptop,High,1
"Guru Kashi University, Bathinda ",Hotel-management,4,ChatGPT,3.9,"Coding Help, Exam Preparation, Doubt Solving",3,Yes,Copilot,1,Yes,Punjab,Laptop,Medium,0
Assam Institute of Technology ,Engineering,2,ChatGPT,2.5,"Doubt Solving, MCQ Practice",2,No,Other,5,Yes,Assam,Tablet,Medium,0
Sanjay Gandhi Postgraduate Institute of Medical Sciences ,Medical,3,"ChatGPT, Gemini, Copilot",1.4,"Exam Prep, Notes",2,No,Gemini,2,No,Uttar pradesh,Laptop,Medium,1
Kerala University of Fisheries and Ocean Studies ,Law,4,Gemini,1.1,"Assignments, Coding Help",4,No,ChatGPT,6,No,Kerala,Tablet,High,0
"RKDF University, Ranchi ",Agriculture,1,Bard,1.2,Doubt Solving,3,No,Claude,2,Yes,Jharkhand,Laptop,High,1
"Maharishi College of Natural Law, Bhubaneswar ",Science,2,Gemini,4.4,Project Work,1,No,Claude,4,No,Orissa,Mobile,High,0
J.S. University ,Pharmacy,4,ChatGPT,3.8,Coding Help,3,No,Gemini,7,No,Uttar pradesh,Tablet,Poor,1
Magadh University ,Arts,4,"ChatGPT, Gemini, Copilot",2.5,"Doubt Solving, Resume Writing",5,No,ChatGPT,9,Yes,Bihar,Mobile,Poor,1
"Deen Dayal Upadhyaya College, New Delhi ",Arts,1,ChatGPT,2.3,"Resume Writing, Exam Preparation, Learning new topics",2,No,ChatGPT,3,No,Delhi ncr,Laptop,Poor,0
"Patkai Christian College, Dimapur ",Arts,1,"ChatGPT, Gemini, Copilot",3.9,"Exam Prep, Notes",2,Yes,Gemini,8,No,Nagaland,Tablet,Medium,1
